cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,prtvtgb,gndr,agea,eduyrs,inwtm
GB,ESS1-6e01,1,26.11.2014,136267,ESS6e02_1,6,2.1,310177,1.0105622449,0.9963034006,2.282115223,2,1,69,13,48
GB,ESS1-6e01,1,26.11.2014,136268,ESS6e02_1,6,2.1,310185,1.5158433371,2.0490934752,2.282115223,66,1,22,14,47
GB,ESS1-6e01,1,26.11.2014,136269,ESS6e02_1,6,2.1,310193,0.5052811225,0.4088020927,2.282115223,2,2,44,11,47
GB,ESS1-6e01,1,26.11.2014,136270,ESS6e02_1,6,2.1,311035,1.0105620813,0.9963032389,2.282115223,2,1,70,10,67
GB,ESS1-6e01,1,26.11.2014,136271,ESS6e02_1,6,2.1,311043,1.0105620813,1.1348297179,2.282115223,3,1,44,11,52
GB,ESS1-6e01,1,26.11.2014,136272,ESS6e02_1,6,2.1,311068,1.0105620813,0.9834739753,2.282115223,1,2,72,10,50
GB,ESS1-6e01,1,26.11.2014,136273,ESS6e02_1,6,2.1,311126,1.5158430916,1.4944548293,2.282115223,3,1,68,19,55
GB,ESS1-6e01,1,26.11.2014,136274,ESS6e02_1,6,2.1,311134,1.0105620813,0.8176040535,2.282115223,3,2,36,13,46
GB,ESS1-6e01,1,26.11.2014,136275,ESS6e02_1,6,2.1,311167,1.5158430916,1.4944548293,2.282115223,66,1,61,15,56
GB,ESS1-6e01,1,26.11.2014,136276,ESS6e02_1,6,2.1,311175,1.0105620813,0.9963032389,2.282115223,3,1,65,17,50
GB,ESS1-6e01,1,26.11.2014,136277,ESS6e02_1,6,2.1,312025,0.5052810723,0.4865594641,2.282115223,66,2,20,14,38
GB,ESS1-6e01,1,26.11.2014,136278,ESS6e02_1,6,2.1,312066,1.0105621447,1.1348297898,2.282115223,88,1,39,18,54
GB,ESS1-6e01,1,26.11.2014,136279,ESS6e02_1,6,2.1,312074,1.0105621447,0.996303302,2.282115223,2,1,74,16,43
GB,ESS1-6e01,1,26.11.2014,136280,ESS6e02_1,6,2.1,312108,1.0105621447,0.8176041052,2.282115223,1,2,41,17,42
GB,ESS1-6e01,1,26.11.2014,136281,ESS6e02_1,6,2.1,312116,0.5052810723,0.4865594641,2.282115223,66,2,20,15,40
GB,ESS1-6e01,1,26.11.2014,136282,ESS6e02_1,6,2.1,312124,1.0105621447,1.3660622091,2.282115223,3,1,34,17,43
GB,ESS1-6e01,1,26.11.2014,136283,ESS6e02_1,6,2.1,312140,1.5158431867,2.0490932724,2.282115223,66,1,16,11,37
GB,ESS1-6e01,1,26.11.2014,136284,ESS6e02_1,6,2.1,312157,1.0105621447,1.1348297898,2.282115223,4,1,42,13,38
GB,ESS1-6e01,1,26.11.2014,136285,ESS6e02_1,6,2.1,312165,0.5052810723,0.4917370183,2.282115223,3,2,64,14,34
GB,ESS1-6e01,1,26.11.2014,136286,ESS6e02_1,6,2.1,312173,1.0105621447,0.8176041052,2.282115223,88,2,47,11,46
GB,ESS1-6e01,1,26.11.2014,136287,ESS6e02_1,6,2.1,312181,0.5052810723,0.4088020522,2.282115223,2,2,50,11,38
